INEGI. Pobreza Multidimensional (PM) 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morelos,,,, 676.5, 718.4, 700.5, 725.4, 696.5,, 123.9, 140.2, 306.6, 451.5, 417.0,,1 003.9, 997.4, 609.6, 261.5,, 576.9, 558.5, 588.2, 629.6, 685.2,, 0.3, 0.6, 1.9, 1.4, 27.3,, 121.2, 111.6, 138.3, 151.0, 141.8,, 0.8, 0.9, 2.0, 0.3, 2.4,, 12.1, 6.2, 10.6, 11.4, 18.1,,NA,NA,NA,NA, 201.1,, 13.7, 8.9, 9.7, 11.8, 8.1,, 9.5, 11.2, 6.1, 12.9, 1.5,, 28.1, 25.9, 40.3, 47.2, 38.8,, 74.6, 76.6, 74.4, 73.8, 71.9,, 12.3, 13.7, 29.6, 44.0, 41.6,, 52.4, 50.8, 30.8, 13.0,, 30.1, 28.5, 29.8, 31.3, 34.7,, 0.0, 0.0, 0.1, 0.1, 1.4,, 6.3, 5.7, 7.0, 7.5, 7.2,, 0.0, 0.0, 0.1, 0.0, 0.1,, 0.6, 0.3, 0.5, 0.6, 0.9,,NA,NA,NA,NA, 10.2,, 0.7, 0.5, 0.5, 0.6, 0.4,, 0.5, 0.6, 0.3, 0.6, 0.1,, 1.5, 1.3, 2.0, 2.4, 2.0,
Nayarit,,,, 407.6, 402.8, 416.1, 406.9, 431.7,, 83.4, 71.1, 141.1, 216.6, 137.3,, 564.0, 545.5, 336.2, 245.9,, 400.6, 457.9, 495.3, 467.7, 483.7,, 27.5, 9.3, 4.7, 17.0, 226.0,, 116.6, 115.0, 122.5, 114.1, 119.3,, 1.7, 0.6, 0.4, 2.2, 1.0,, 5.5, 3.6, 2.2, 4.1, 8.2,,NA,NA,NA,NA, 83.3,, 6.5, 5.8, 5.3, 5.8, 10.0,, 4.9, 5.6, 4.6, 3.7, 1.3,, 13.2, 21.2, 29.2, 27.2, 17.7,, 71.3, 69.0, 67.8, 66.7, 67.6,, 13.7, 11.1, 22.6, 33.2, 22.7,, 47.8, 44.6, 27.1, 19.5,, 33.9, 37.5, 40.0, 37.1, 38.9,, 2.3, 0.8, 0.4, 1.4, 18.2,, 9.9, 9.4, 9.9, 9.0, 9.6,, 0.1, 0.0, 0.0, 0.2, 0.1,, 0.5, 0.3, 0.2, 0.3, 0.7,,NA,NA,NA,NA, 6.7,, 0.5, 0.5, 0.4, 0.5, 0.8,, 0.4, 0.5, 0.4, 0.3, 0.1,, 1.1, 1.7, 2.4, 2.2, 1.4,
Nuevo León,,,, 999.4,1 069.1,1 186.7,1 285.0,1 114.1,, 377.2, 374.0, 707.0, 716.4, 493.3,,1 193.3,1 099.9, 673.2, 313.6,,3 170.8,3 466.4,3 434.6,3 842.2,4 031.0,, 0.8, 1.7, 10.0, 5.2, 40.7,, 155.0, 159.4, 156.6, 144.1, 176.3,, 47.5, 75.2, 75.0, 72.9, 109.6,, 25.6, 13.2, 22.9, 45.3, 13.9,,NA,NA,NA,NA, 474.9,, 112.6, 106.2, 146.4, 117.4, 198.5,, 173.9, 123.9, 208.7, 182.0, 75.0,, 140.4, 136.7, 220.8, 246.6, 178.1,, 42.6, 42.2, 44.9, 43.4, 37.5,, 12.8, 12.6, 22.0, 23.1, 15.6,, 22.5, 20.0, 11.5, 5.2,, 59.9, 63.0, 58.6, 63.4, 65.8,, 0.0, 0.0, 0.2, 0.1, 0.7,, 2.9, 2.9, 2.7, 2.4, 2.9,, 0.9, 1.4, 1.3, 1.2, 1.8,, 0.5, 0.2, 0.4, 0.7, 0.2,,NA,NA,NA,NA, 7.7,, 2.1, 1.9, 2.5, 1.9, 3.2,, 3.3, 2.3, 3.6, 3.0, 1.2,, 2.7, 2.5, 3.8, 4.1, 2.9,
Oaxaca,,,,1 431.4,1 673.2,1 756.4,1 898.2,1 835.8,, 312.9, 294.4, 723.9,1 334.5, 891.5,,2 698.1,2 615.9,1 662.5, 495.6,, 408.6, 518.2, 620.8, 530.6, 589.9,, 93.6, 15.0, 9.5, 41.1, 436.2,, 223.2, 277.1, 282.4, 274.6, 282.1,, 0.0, 1.2, 8.4, 7.1, 34.9,, 42.1, 43.6, 62.9, 73.3, 75.1,,NA,NA,NA,NA, 931.2,, 7.0, 6.7, 10.4, 12.9, 6.7,, 3.7, 6.3, 10.5, 7.1, 4.1,, 29.0, 37.7, 71.4, 83.5, 72.3,, 85.7, 86.4, 84.1, 86.6, 85.3,, 13.9, 14.2, 34.8, 64.8, 42.1,, 68.9, 65.3, 39.9, 11.7,, 10.4, 12.9, 14.9, 12.5, 13.8,, 2.4, 0.4, 0.2, 1.0, 10.2,, 5.7, 6.9, 6.8, 6.5, 6.6,, 0.0, 0.0, 0.2, 0.2, 0.8,, 1.1, 1.1, 1.5, 1.7, 1.8,,NA,NA,NA,NA, 21.8,, 0.2, 0.2, 0.2, 0.3, 0.2,, 0.1, 0.2, 0.3, 0.2, 0.1,, 0.7, 0.9, 1.7, 2.0, 1.7,
Puebla,,,,2 396.5,2 435.8,2 618.9,2 605.2,2 527.1,, 500.4, 631.4, 959.8,1 557.8,1 476.5,,3 624.7,3 499.9,2 683.9,1 374.7,,1 344.3,1 409.2,1 489.0,1 597.3,1 574.4,, 113.1, 32.3, 14.1, 46.5, 250.9,, 220.3, 170.6, 220.5, 196.2, 166.5,, 161.2, 141.2, 127.7, 153.3, 167.4,, 29.9, 32.8, 18.7, 40.2, 36.6,,NA,NA,NA,NA,1 080.2,, 36.7, 11.3, 26.2, 41.3, 64.8,, 40.8, 14.2, 65.5, 32.4, 20.2,, 113.2, 82.0, 124.3, 175.9, 150.0,, 79.4, 79.6, 80.2, 78.4, 77.4,, 15.2, 18.5, 28.6, 45.9, 44.4,, 57.3, 54.1, 40.5, 20.5,, 21.3, 21.8, 22.5, 23.8, 23.9,, 1.8, 0.5, 0.2, 0.7, 3.8,, 3.5, 2.6, 3.3, 2.9, 2.5,, 2.5, 2.2, 1.9, 2.3, 2.5,, 0.5, 0.5, 0.3, 0.6, 0.6,,NA,NA,NA,NA, 16.4,, 0.6, 0.2, 0.4, 0.6, 1.0,, 0.6, 0.2, 1.0, 0.5, 0.3,, 1.8, 1.3, 1.9, 2.6, 2.3,
Querétaro,,,, 553.5, 589.2, 603.1, 657.7, 613.6,, 128.6, 122.9, 253.8, 385.7, 293.2,, 941.7, 996.2, 703.8, 394.2,, 992.4,1 036.6,1 095.9,1 173.7,1 387.4,, 3.8, 2.7, 14.9, 5.3, 22.4,, 87.5, 86.7, 100.2, 96.7, 84.0,, 1.8, 0.7, 4.5, 2.4, 1.7,, 3.8, 5.6, 6.0, 5.8, 4.6,,NA,NA,NA,NA, 316.1,, 23.8, 26.1, 31.3, 30.4, 46.4,, 28.8, 17.7, 7.6, 12.6, 4.2,, 41.8, 51.8, 74.5, 89.6, 79.3,, 55.6, 55.3, 55.0, 54.0, 48.3,, 11.1, 10.0, 19.6, 30.7, 23.2,, 43.7, 43.5, 29.4, 15.9,, 46.0, 45.2, 45.7, 47.4, 54.7,, 0.2, 0.1, 0.6, 0.2, 0.9,, 4.1, 3.8, 4.2, 3.9, 3.3,, 0.1, 0.0, 0.2, 0.1, 0.1,, 0.2, 0.2, 0.3, 0.2, 0.2,,NA,NA,NA,NA, 12.5,, 1.1, 1.1, 1.3, 1.2, 1.8,, 1.3, 0.8, 0.3, 0.5, 0.2,, 1.9, 2.3, 3.1, 3.6, 3.1,
Quintana Roo,,,, 457.1, 502.3, 501.0, 558.1, 495.5,, 141.5, 106.9, 249.9, 280.4, 282.2,, 629.0, 674.7, 521.7, 240.4,, 704.5, 795.0, 727.2, 861.1, 891.0,, 0.0, 1.1, 2.9, 2.7, 19.8,, 125.3, 107.3, 151.2, 128.7, 145.3,, 0.5, 0.1, 1.2, 5.7, 4.3,, 6.4, 3.8, 9.1, 14.5, 5.3,,NA,NA,NA,NA, 166.5,, 18.4, 9.2, 20.8, 28.2, 19.0,, 9.9, 5.2, 10.4, 7.0, 0.9,, 54.0, 51.7, 66.1, 95.7, 103.3,, 54.7, 53.7, 57.6, 55.4, 48.7,, 16.4, 12.2, 24.7, 30.8, 31.4,, 37.0, 37.3, 27.7, 12.5,, 41.5, 43.9, 38.7, 44.9, 46.5,, 0.0, 0.1, 0.2, 0.1, 1.0,, 7.4, 5.9, 8.0, 6.7, 7.6,, 0.0, 0.0, 0.1, 0.3, 0.2,, 0.4, 0.2, 0.5, 0.8, 0.3,,NA,NA,NA,NA, 8.7,, 1.1, 0.5, 1.1, 1.5, 1.0,, 0.6, 0.3, 0.6, 0.4, 0.0,, 3.2, 2.9, 3.5, 5.0, 5.4,
San Luis Potosí,,,, 811.1, 791.3, 836.3, 815.2, 870.2,, 109.3, 114.6, 287.4, 552.2, 487.0,,1 476.1,1 380.8, 999.9, 470.1,, 958.1,1 068.7,1 106.6,1 184.5,1 120.8,, 48.1, 21.7, 9.8, 34.6, 258.1,, 175.8, 141.1, 172.7, 176.2, 157.3,, 4.4, 4.9, 1.7, 2.5, 3.2,, 8.0, 14.1, 4.8, 7.8, 10.7,,NA,NA,NA,NA, 290.2,, 18.8, 23.8, 24.8, 23.2, 39.2,, 17.5, 27.7, 33.6, 32.0, 3.2,, 43.0, 37.4, 54.0, 72.8, 63.9,, 64.9, 63.8, 64.7, 61.5, 62.9,, 7.2, 7.3, 18.6, 35.7, 32.6,, 53.5, 49.2, 35.3, 16.4,, 34.7, 38.1, 39.1, 41.2, 39.0,, 1.7, 0.8, 0.3, 1.2, 9.0,, 6.4, 5.0, 6.1, 6.1, 5.5,, 0.2, 0.2, 0.1, 0.1, 0.1,, 0.3, 0.5, 0.2, 0.3, 0.4,,NA,NA,NA,NA, 10.1,, 0.7, 0.8, 0.9, 0.8, 1.4,, 0.6, 1.0, 1.2, 1.1, 0.1,, 1.6, 1.3, 1.9, 2.5, 2.2,
Sinaloa,,,, 713.2, 729.0, 721.6, 787.0, 709.1,, 175.9, 184.7, 326.1, 436.9, 426.4,,1 117.0,1 016.1, 689.3, 405.9,,1 403.8,1 497.1,1 558.2,1 614.8,1 713.8,, 6.8, 2.0, 27.6, 12.0, 222.4,, 279.9, 232.0, 242.2, 205.7, 276.6,, 25.2, 34.3, 43.7, 46.0, 35.2,, 22.9, 13.5, 16.2, 23.2, 15.0,,NA,NA,NA,NA, 87.5,, 14.8, 19.4, 23.7, 23.4, 21.8,, 24.8, 15.9, 11.6, 17.3, 8.9,, 38.6, 47.1, 53.4, 61.8, 54.8,, 55.8, 55.4, 55.0, 55.7, 51.4,, 10.6, 11.0, 18.9, 26.1, 24.3,, 38.0, 33.9, 22.7, 13.1,, 47.7, 50.0, 51.2, 52.3, 54.7,, 0.2, 0.1, 0.9, 0.4, 7.1,, 9.5, 7.7, 8.0, 6.7, 8.8,, 0.9, 1.1, 1.4, 1.5, 1.1,, 0.8, 0.5, 0.5, 0.8, 0.5,,NA,NA,NA,NA, 2.8,, 0.5, 0.6, 0.8, 0.8, 0.7,, 0.8, 0.5, 0.4, 0.6, 0.3,, 1.3, 1.6, 1.8, 2.0, 1.7,
Sonora,,,, 667.7, 665.6, 657.8, 716.3, 672.8,, 209.9, 169.4, 323.2, 366.0, 390.3,, 927.9, 913.5, 482.2, 282.3,,1 355.7,1 551.4,1 573.3,1 663.1,1 723.7,, 0.8, 1.4, 3.2, 24.7, 125.5,, 121.2, 106.8, 150.9, 118.5, 145.4,, 172.4, 144.2, 161.3, 142.7, 187.8,, 12.3, 16.3, 10.8, 17.1, 22.6,,NA,NA,NA,NA, 61.7,, 51.7, 33.6, 54.4, 51.3, 43.3,, 14.7, 22.6, 35.1, 21.7, 12.0,, 73.0, 55.3, 100.8, 105.7, 87.5,, 51.4, 49.4, 49.2, 49.2, 45.6,, 13.6, 10.9, 19.9, 23.7, 24.7,, 32.6, 31.5, 16.3, 9.4,, 47.7, 53.4, 53.2, 55.5, 56.4,, 0.0, 0.0, 0.1, 0.8, 4.1,, 4.3, 3.7, 5.1, 4.0, 4.8,, 6.1, 5.0, 5.5, 4.8, 6.1,, 0.4, 0.6, 0.4, 0.6, 0.7,,NA,NA,NA,NA, 2.0,, 1.8, 1.2, 1.8, 1.7, 1.4,, 0.5, 0.8, 1.2, 0.7, 0.4,, 2.6, 1.9, 3.4, 3.5, 2.9,
Tabasco,,,, 730.2, 830.2, 811.7, 914.3, 896.2,, 146.9, 128.9, 317.0, 515.5, 419.8,,1 385.3,1 402.2, 925.6, 427.5,, 449.7, 484.6, 518.7, 535.1, 639.9,, 1.0, 3.2, 0.2, 2.6, 75.8,, 70.4, 72.0, 69.5, 74.7, 99.1,, 147.0, 122.4, 196.8, 166.8, 165.6,, 68.3, 88.3, 100.6, 87.8, 114.1,,NA,NA,NA,NA, 471.3,, 6.8, 9.9, 9.7, 7.3, 14.3,, 32.1, 10.5, 4.4, 11.2, 4.4,, 31.8, 36.5, 63.0, 99.0, 86.4,, 71.6, 74.8, 72.0, 73.0, 70.7,, 11.2, 10.3, 24.6, 43.3, 33.2,, 59.4, 59.3, 38.3, 17.5,, 19.3, 20.5, 21.5, 21.9, 25.3,, 0.0, 0.1, 0.0, 0.1, 3.0,, 3.0, 3.0, 2.9, 3.1, 3.9,, 6.3, 5.2, 8.1, 6.8, 6.5,, 2.9, 3.7, 4.2, 3.6, 4.5,,NA,NA,NA,NA, 18.6,, 0.3, 0.4, 0.4, 0.3, 0.6,, 1.4, 0.4, 0.2, 0.5, 0.2,, 1.4, 1.5, 2.6, 4.1, 3.4,
Tamaulipas,,,, 836.6, 774.4, 766.0, 857.8, 837.0,, 213.9, 216.2, 380.0, 559.6, 482.7,,1 210.5,1 151.1, 879.2, 510.9,,1 588.5,1 619.4,1 667.7,1 641.6,1 744.1,, 9.3, 3.0, 1.7, 17.8, 253.5,, 218.9, 216.7, 195.8, 219.7, 191.3,, 46.2, 68.0, 58.8, 73.4, 56.5,, 45.3, 75.9, 58.7, 76.9, 64.6,,NA,NA,NA,NA, 269.0,, 29.6, 20.3, 19.6, 25.6, 40.3,, 41.5, 20.3, 25.5, 28.5, 1.1,, 81.6, 68.1, 87.7, 124.4, 98.4,, 53.4, 51.4, 50.5, 52.2, 50.7,, 11.5, 10.9, 18.9, 28.8, 25.1,, 35.3, 33.0, 24.9, 14.2,, 46.4, 46.4, 47.2, 45.7, 48.8,, 0.3, 0.1, 0.0, 0.5, 7.1,, 6.4, 6.2, 5.5, 6.1, 5.4,, 1.3, 1.9, 1.7, 2.0, 1.6,, 1.3, 2.2, 1.7, 2.1, 1.8,,NA,NA,NA,NA, 7.5,, 0.9, 0.6, 0.6, 0.7, 1.1,, 1.2, 0.6, 0.7, 0.8, 0.0,, 2.4, 2.0, 2.5, 3.5, 2.8,
Tlaxcala,,,, 458.3, 490.9, 469.7, 482.6, 521.2,, 69.6, 73.3, 184.7, 316.1, 271.2,, 839.9, 762.3, 550.1, 261.2,, 332.3, 376.6, 364.3, 396.0, 469.4,, 2.8, 1.5, 0.3, 10.8, 106.0,, 73.4, 65.7, 69.6, 71.8, 89.7,, 2.0, 4.7, 9.0, 11.8, 15.0,, 2.9, 7.7, 3.2, 6.0, 4.5,,NA,NA,NA,NA, 175.5,, 2.3, 3.6, 4.2, 3.1, 4.9,, 5.4, 9.8, 4.7, 5.1, 1.5,, 11.8, 10.7, 25.7, 32.0, 39.2,, 76.9, 75.4, 75.5, 74.9, 72.1,, 10.3, 11.2, 25.4, 43.5, 36.4,, 66.0, 58.4, 40.7, 19.1,, 26.1, 28.9, 27.0, 28.9, 32.0,, 0.2, 0.1, 0.0, 0.8, 7.2,, 5.8, 5.0, 5.2, 5.2, 6.1,, 0.2, 0.4, 0.7, 0.9, 1.0,, 0.2, 0.6, 0.2, 0.4, 0.3,,NA,NA,NA,NA, 12.0,, 0.2, 0.3, 0.3, 0.2, 0.3,, 0.4, 0.7, 0.4, 0.4, 0.1,, 0.9, 0.8, 1.9, 2.3, 2.7,
Veracruz de Ignacio de la Llave,,,,2 794.8,2 874.7,3 002.8,2 793.7,2 644.6,, 716.2, 624.1,1 208.6,2 158.3,1 780.0,,4 186.7,4 197.2,3 071.3,1 187.9,,1 736.8,2 121.7,2 142.5,2 244.6,2 451.3,, 165.4, 79.1, 72.9, 63.9, 399.5,, 365.5, 329.7, 298.6, 318.7, 290.7,, 0.0, 5.9, 8.6, 14.2, 20.5,, 246.9, 202.2, 208.7, 298.8, 226.4,,NA,NA,NA,NA,1 297.1,, 17.5, 11.7, 30.2, 21.7, 19.4,, 17.0, 44.6, 13.7, 15.8, 6.3,, 100.8, 72.8, 126.3, 190.8, 140.9,, 77.9, 77.2, 78.1, 74.4, 73.2,, 16.8, 14.8, 28.4, 48.5, 39.7,, 53.4, 52.9, 37.9, 14.5,, 22.1, 26.7, 26.4, 27.4, 30.3,, 2.1, 1.0, 0.9, 0.8, 4.9,, 4.7, 4.2, 3.7, 3.9, 3.6,, 0.0, 0.1, 0.1, 0.2, 0.3,, 3.1, 2.5, 2.6, 3.6, 2.8,,NA,NA,NA,NA, 16.0,, 0.2, 0.1, 0.4, 0.3, 0.2,, 0.2, 0.6, 0.2, 0.2, 0.1,, 1.3, 0.9, 1.6, 2.3, 1.7,
Yucatán,,,, 781.9, 817.1, 828.5, 798.0, 782.4,, 123.6, 115.7, 246.7, 376.0, 276.5,, 986.4, 925.4, 659.7, 294.3,, 837.7, 924.1, 968.1,1 062.2,1 124.8,, 12.8, 35.0, 2.2, 13.9, 63.0,, 110.6, 110.4, 102.7, 92.8, 137.7,, 8.4, 4.6, 6.8, 15.2, 11.4,, 14.6, 19.5, 22.0, 14.2, 20.3,,NA,NA,NA,NA, 342.6,, 17.4, 21.2, 31.4, 27.0, 31.1,, 11.9, 15.1, 5.8, 22.5, 2.4,, 33.3, 39.6, 57.7, 82.8, 59.0,, 69.6, 67.5, 68.6, 65.7, 61.9,, 11.7, 11.1, 21.8, 32.4, 24.8,, 45.3, 41.1, 28.2, 12.4,, 38.5, 41.0, 41.4, 44.8, 47.3,, 0.6, 1.6, 0.1, 0.6, 2.6,, 5.1, 4.9, 4.4, 3.9, 5.8,, 0.4, 0.2, 0.3, 0.6, 0.5,, 0.7, 0.9, 0.9, 0.6, 0.9,,NA,NA,NA,NA, 14.4,, 0.8, 0.9, 1.3, 1.1, 1.3,, 0.5, 0.7, 0.2, 0.9, 0.1,, 1.5, 1.8, 2.5, 3.5, 2.5,
Zacatecas,,,, 471.8, 462.3, 506.6, 468.8, 478.7,, 90.7, 92.0, 208.9, 348.6, 312.5,, 934.6, 892.6, 660.4, 404.8,, 474.1, 488.1, 472.1, 522.6, 595.9,, 33.4, 9.8, 2.7, 17.5, 107.4,, 106.0, 93.5, 116.0, 86.0, 112.6,, 8.3, 7.3, 7.4, 16.0, 11.7,, 1.0, 2.6, 2.6, 4.0, 3.8,,NA,NA,NA,NA, 249.4,, 3.0, 4.9, 6.8, 4.4, 3.6,, 5.0, 2.3, 2.5, 4.7, 4.1,, 17.2, 12.3, 24.3, 30.8, 28.8,, 70.7, 69.2, 70.5, 68.6, 66.1,, 9.8, 9.7, 22.9, 36.4, 33.3,, 58.6, 55.3, 40.5, 24.7,, 29.7, 30.2, 29.0, 31.8, 35.9,, 2.1, 0.6, 0.2, 1.1, 6.5,, 6.6, 5.8, 7.1, 5.2, 6.8,, 0.5, 0.4, 0.5, 1.0, 0.7,, 0.1, 0.2, 0.2, 0.2, 0.2,,NA,NA,NA,NA, 15.0,, 0.2, 0.3, 0.4, 0.3, 0.2,, 0.3, 0.1, 0.2, 0.3, 0.2,, 1.1, 0.8, 1.5, 1.9, 1.7,
Nota: ,,,"Las estimaciones para 2024 están coloreadas de acuerdo con su nivel de precisión (alta, moderada y baja), tomando como referencia el Coeficiente de Variación (CV). Una precisión baja requiere un uso cauteloso de la estimación en el que se analicen las causas de la gran variabilidad y se consideren otros indicadores de precisión y confiabilidad, como el intervalo de confianza.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Nivel de precisión de las estimaciones, según el CV (porcentaje):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Alta: CV en el rango de [0,15) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Moderada: CV en el rango de [15,30) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Baja: CV de 30 en adelante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/,,,Población ocupada que no cuenta con acceso directo por medio de prestación laboral o contratación voluntaria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/,,,"Suma de la Población No Económicamente Activa (PNEA), población desocupada y los menores de 16 años.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/,,,"Se consideran todos los tipos de acceso, por lo que una persona puede estar afiliada a más de una institución.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/,,,"En la ENIGH 2016 y 2018 se preguntaba sobre la afiliación o inscripción al Seguro Popular, en 2020 y 2022 se adiciona el derecho a los servicios del Instituto de Salud para el Bienestar (INSABI); sin embargo, en 2024 no se contempla este reporte ya que los programas desaparecieron. Esto se ve reflejado en los cuestionarios bienales de la ENIGH de 2016 a 2024.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/,,,"En la ENIGH 2016 y 2018 se reporta IMSS-Prospera como institución para recibir atención médica; para 2020 y 2022 se considera IMSS-Prospera o IMSS-Bienestar; en 2024, únicamente IMSS-Bienestar. Esto se ve reflejado en los cuestionarios bienales de la ENIGH de 2016 a 2024.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/,,,En la ENIGH 2024 se agrega esta opción de respuesta como institución por la que se tiene acceso a servicios médicos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/,,,Para los años 2016 a 2022 se considera la contratación voluntaria a un seguro privado de gastos médicos; para el año 2024 se reporta si está afiliado o tiene acceso a servicios médicos en un seguro privado de gastos médicos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/,,,"Población que no reportó estar afiliada, inscrita para recibir atención médica en alguna institución (incluyendo el Seguro Popular) y tampoco reportó tener derecho al INSABI; sin embargo, sí recibe atención por lo que se considera que tiene acceso a través de las redes de parentesco definidas por la ley (núcleos familiares).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,No aplica. Esta variable se incluyó en el cuestionario de la ENIGH 2024.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: ,,,"INEGI. Pobreza multidimensional, 2024. Cálculos con base en la información de la ENIGH 2024, utilizando la metodología del CONEVAL. 
CONEVAL. Medición de la pobreza, de 2016 a 2022. Recuperado el 1 de agosto de 2025, de https://www.coneval.org.mx/Medicion/MP/Paginas/AE_pobreza_2022.aspx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,