INEGI. Pobreza Multidimensional (PM) 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Razón de ingreso, según entidad federativa",,,,,,,Cuadro 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(inidicadores),,,,,,,,Índice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entidad federativa,,,,"Razón de ingreso1/, 2/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2016,2018,2020,2022,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,,,,2.912,3.048,4.194,3.150,1.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,,,, 0.819, 0.400, 0.845, 0.613, 0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California,,,, 0.314, 0.417, 0.548, 0.358, 0.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California Sur,,,, 0.456, 0.286, 0.912, 0.172, 0.290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campeche,,,, 3.363, 5.315, 5.958, 5.335, 3.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coahuila de Zaragoza,,,, 0.764, 0.510, 0.855, 0.592, 0.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colima,,,, 0.886, 0.747, 0.709, 0.402, 0.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiapas,,,, 40.893, 44.925, 42.191, 38.188, 37.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chihuahua,,,, 1.004, 0.794, 0.827, 0.502, 0.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciudad de México,,,, 0.433, 0.451, 1.407, 0.491, 0.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durango,,,, 1.368, 1.138, 1.780, 2.557, 1.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guanajuato,,,, 2.061, 2.362, 3.057, 2.110, 0.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guerrero,,,, 26.647, 34.646, 37.419, 25.390, 23.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidalgo,,,, 7.910, 5.642, 6.824, 5.205, 3.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalisco,,,, 0.679, 0.952, 1.536, 0.918, 0.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
México,,,, 3.407, 2.985, 5.088, 3.934, 1.910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michoacán de Ocampo,,,, 7.806, 4.111, 6.440, 6.185, 3.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morelos,,,, 3.253, 4.961, 6.731, 3.754, 2.941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nayarit,,,, 2.902, 2.061, 1.561, 2.101, 1.090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuevo León,,,, 0.246, 0.177, 0.626, 0.283, 0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oaxaca,,,, 29.406, 23.149, 21.512, 26.914, 14.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puebla,,,, 7.306, 8.496, 12.413, 11.764, 5.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Querétaro,,,, 0.827, 0.567, 1.067, 0.706, 0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quintana Roo,,,, 1.925, 1.319, 5.628, 1.508, 0.782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Potosí,,,, 2.790, 3.018, 4.095, 3.264, 1.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinaloa,,,, 0.932, 0.770, 1.005, 0.683, 0.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonora,,,, 0.705, 0.693, 1.322, 0.520, 0.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabasco,,,, 10.392, 10.256, 9.531, 8.643, 3.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamaulipas,,,, 1.009, 1.210, 1.666, 1.084, 0.520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tlaxcala,,,, 7.315, 3.298, 11.566, 8.043, 3.847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veracruz de Ignacio de la Llave,,,, 10.163, 15.076, 12.562, 10.922, 6.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yucatán,,,, 3.807, 3.140, 6.617, 3.254, 1.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zacatecas,,,, 2.099, 2.666, 2.303, 3.473, 1.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota: ,,,"Las estimaciones para 2024 están coloreadas de acuerdo con su nivel de precisión (alta, moderada y baja), tomando como referencia el Coeficiente de Variación (CV). Una precisión baja requiere un uso cauteloso de la estimación en el que se analicen las causas de la gran variabilidad y se consideren otros indicadores de precisión y confiabilidad, como el intervalo de confianza.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Nivel de precisión de las estimaciones, según el CV (porcentaje):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Alta: CV en el rango de [0,15) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Moderada: CV en el rango de [15,30) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Baja: CV de 30 en adelante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/,,,Razón por cien.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/,,,Se determina como el cociente de la sumatoria del ingreso corriente total per cápita de la población en situación de pobreza extrema respecto de la sumatoria del ingreso corriente total per cápita de la población no pobre y no vulnerable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: ,,,"INEGI. Pobreza multidimensional, 2024. Cálculos con base en la información de la ENIGH 2024, utilizando la metodología del CONEVAL. 
CONEVAL. Medición de la pobreza, de 2016 a 2022. Recuperado el 1 de agosto de 2025, de https://www.coneval.org.mx/Medicion/MP/Paginas/AE_pobreza_2022.aspx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,