NOMBRE_ESTADO,NOMBRE,PERIODO_ANIO,TASA_ABANDONO_PRIMARIA,RAZON_INGRESO,CARENCIA_SALUD,INSEG_ALIMENTARIA,INASISTENCIA_3_A_15,INGRESO_MENSUAL_POR_ESTADO,VIVIENDA_PISO_TIERRA,VULNERABLE_CARENCIA
AGUAS_CALIENTES,AGUAS CALIENTES,2021,0.5,0.4,50.6,19.2,31.1,7 013.9,0.8,25.5
AGUAS_CALIENTES,AGUAS CALIENTES,2022,0.2,0.845,50.1,21.5,32.7,6 621.8,0.5,25.6
AGUAS_CALIENTES,AGUAS CALIENTES,2023,0.1,0.613,48.7,17.7,33.4,7 945.3,0.5,29.9
AGUAS_CALIENTES,AGUAS CALIENTES,2024,0.6,0.193,44.2,14.3,27.5,8 600.1,0.4,30.4
BAJA_CALIFORNIA,BAJA CALIFORNIA,2021,-0.5,0.417,44.7,14.7,95.2,7 751.7,1.3,33.9
BAJA_CALIFORNIA,BAJA CALIFORNIA,2022,-0.4,0.548,46.2,15.5,88.4,8 288.8,1.5,34.4
BAJA_CALIFORNIA,BAJA CALIFORNIA,2023,-1.4,0.358,43.6,12.6,84.8,9 822.4,1,38.1
BAJA_CALIFORNIA,BAJA CALIFORNIA,2024,0,0.1,39.6,7.4,58.8,10 039.3,1.3,38
BAJA_CALIFORNIA_SUR,BAJA CALIFORNIA SUR,2021,0,0.286,42.2,11,13,9 348.1,3.9,37.7
BAJA_CALIFORNIA_SUR,BAJA CALIFORNIA SUR,2022,-0.5,0.912,44.5,16.3,12.6,7 769.4,2.9,30
BAJA_CALIFORNIA_SUR,BAJA CALIFORNIA SUR,2023,-1.3,0.172,43.8,8,12.3,10 580.4,1.8,37.7
BAJA_CALIFORNIA_SUR,BAJA CALIFORNIA SUR,2024,0,0.29,40.4,7.6,11.7,10 606.6,3.2,36.9
CAMPECHE,CAMPECHE,2021,1,5.315,71.2,20.6,22.4,5 643.2,2,27.1
CAMPECHE,CAMPECHE,2022,0.3,5.958,69.7,22.3,18.5,5 311.4,2.4,21
CAMPECHE,CAMPECHE,2023,0.2,5.335,69.5,16.6,19.1,5 880.0,2.2,27.7
CAMPECHE,CAMPECHE,2024,0.6,3.101,67.5,14.1,16.6,6 192.5,2.4,31.3
COAHUILA,COAHUILA,2021,0.3,0.51,41.3,14,73.5,7 019.5,0.7,22
COAHUILA,COAHUILA,2022,0.1,0.855,41.8,16.4,73.5,6 671.6,0.6,21.2
COAHUILA,COAHUILA,2023,-0.2,0.592,38.9,11.9,73.5,8 089.8,0.4,24.1
COAHUILA,COAHUILA,2024,0.1,0.211,37,11,52,8 580.9,0.6,26.1
COLIMA,COLIMA,2021,0.5,0.747,58.8,16.3,13.8,7 268.3,3.1,32.5
COLIMA,COLIMA,2022,1.4,0.709,58.6,16.5,14.2,7 446.2,1.9,32.8
COLIMA,COLIMA,2023,-0.1,0.402,52.6,12.3,12.6,8 149.9,1.2,31.9
COLIMA,COLIMA,2024,-0.1,0.289,55.1,10.5,8.7,9 598.4,1.6,36.2
CHIAPAS,CHIAPAS,2021,0.8,44.925,89.1,29.8,204,2 893.9,8.8,12.3
CHIAPAS,CHIAPAS,2022,-0.1,42.191,88.3,27.4,200.2,3 070.3,8.3,14.1
CHIAPAS,CHIAPAS,2023,0.5,38.188,87.4,26.4,214.1,3 739.5,9.8,21.9
CHIAPAS,CHIAPAS,2024,0.8,37.208,85.8,21.4,228.7,3 608.5,9.4,20
CHIHUAHUA,CHIHUAHUA,2021,-0.6,0.794,45.1,13.7,104.8,7 317.3,1.5,27.4
CHIHUAHUA,CHIHUAHUA,2022,0.7,0.827,42.4,13.3,105.4,7 539.8,1.6,24.4
CHIHUAHUA,CHIHUAHUA,2023,0.3,0.502,41.4,10.5,98.8,9 356.0,1.5,30.1
CHIHUAHUA,CHIHUAHUA,2024,0.2,0.455,42,7.2,93.4,9 422.3,1.6,31
CIUDAD_DE_MEXICO,CDMX,2021,-0.2,0.451,52.6,12.8,88.1,9 911.7,0.4,25.2
CIUDAD_DE_MEXICO,CDMX,2022,2.5,1.407,48.2,19.3,103.3,7 255.8,0.1,21.3
CIUDAD_DE_MEXICO,CDMX,2023,0.4,0.491,51.1,13.3,75.8,9 408.9,0.4,26.7
CIUDAD_DE_MEXICO,CDMX,2024,0.7,0.485,49.2,10.8,89.6,10 864.4,0.4,27.4
DURANGO,DURANGO,2021,1.2,1.138,57.2,14.7,38.4,5 422.7,1.3,23.2
DURANGO,DURANGO,2022,0.8,1.78,59.6,18.2,36.7,5 831.5,1.2,23.3
DURANGO,DURANGO,2023,-0.3,2.557,60.2,18.2,43.4,5 925.5,4,28.2
DURANGO,DURANGO,2024,0.7,1.593,57.1,14.2,38.1,6 595.8,2.9,30.2
GUANAJUATO,GUANAJUATO,2021,0.6,2.362,61.5,16.8,157,5 370.6,1.6,29.4
GUANAJUATO,GUANAJUATO,2022,0.6,3.057,61.2,20.9,142.2,5 212.9,1.5,28.2
GUANAJUATO,GUANAJUATO,2023,0.3,2.11,62.4,17.1,166.9,5 974.6,1.4,34.1
GUANAJUATO,GUANAJUATO,2024,1.2,0.837,57.1,14.6,125.1,6 961.8,1.1,37.4
GUERRERO,GUERRERO,2021,0.9,34.646,83.6,28.1,62.8,3 608.7,12.1,20.2
GUERRERO,GUERRERO,2022,0.9,37.419,84.4,29.3,67.8,3 648.8,10,21.7
GUERRERO,GUERRERO,2023,1.4,25.39,83.2,25.8,77.6,4 419.3,11.7,26.2
GUERRERO,GUERRERO,2024,1.7,23.402,84.2,23.6,76.4,4 516.6,14.3,28.2
HIDALGO,HIDALGO,2021,-0.1,5.642,81,23.5,51.8,4 914.3,4,31.4
HIDALGO,HIDALGO,2022,-0.3,6.824,79.1,24.3,48.1,4 591.0,2.8,26.8
HIDALGO,HIDALGO,2023,-0.4,5.205,79.6,20.6,43.2,5 467.5,2.2,37
HIDALGO,HIDALGO,2024,0.2,3.855,74.9,17.2,43.2,5 845.8,2.4,37
JALISCO,JALISCO,2021,-0.4,0.952,59.5,15,220.2,7 507.7,1.5,34
JALISCO,JALISCO,2022,1.2,1.536,56.7,17.9,223.7,6 472.0,1.5,28.4
JALISCO,JALISCO,2023,0.5,0.918,55.9,14.7,215.7,7 482.4,1.5,37.8
JALISCO,JALISCO,2024,0.6,0.483,53.5,9.6,211.3,8 644.9,0.6,35.8
ESTADO_MEXICO,ESTADO DE MEXICO,2021,1.5,2.985,65.3,20,295.1,5 614.4,1.8,26.3
ESTADO_MEXICO,ESTADO DE MEXICO,2022,-0.5,5.088,60.8,24,313.6,5 317.7,0.9,18.1
ESTADO_MEXICO,ESTADO DE MEXICO,2023,0.5,3.934,63.3,19.1,303.8,5 558.0,1.1,23.4
ESTADO_MEXICO,ESTADO DE MEXICO,2024,0.6,1.91,61.6,16.1,206.3,6 770.0,1.2,31.2
MICHOCAN,MICHOCAN,2021,2,4.111,77.3,21.6,122.5,5 387.8,3.3,32.9
MICHOCAN,MICHOCAN,2022,-1.1,6.44,76.1,21.7,153.9,5 368.3,4.7,33.9
MICHOCAN,MICHOCAN,2023,1,6.185,76.8,19.1,140.8,6 069.7,4.6,36.3
MICHOCAN,MICHOCAN,2024,2.2,3.588,73.9,16.1,110.4,6 607.8,4.6,40.6
MORELOS,MORELOS,2021,1,4.961,76.6,21.7,42.3,5 251.9,3.5,28.8
MORELOS,MORELOS,2022,0.6,6.731,74.4,23.3,42.9,4 942.5,2.3,23.7
MORELOS,MORELOS,2023,1,3.754,73.8,19.9,33.1,6 112.1,2.8,30.8
MORELOS,MORELOS,2024,1.3,2.941,71.9,16.5,30.6,6 507.6,2.1,33.4
NAYARIT,NAYARIT,2021,0.2,2.061,69,17.8,28.7,6 298.4,4.7,31.7
NAYARIT,NAYARIT,2022,-0.4,1.561,67.8,17.6,22,6 554.7,2.4,35.4
NAYARIT,NAYARIT,2023,-0.2,2.101,66.7,13,27.4,7 299.6,4.6,37.4
NAYARIT,NAYARIT,2024,0.3,1.09,67.6,9.8,21.1,7 736.8,3.7,37.6
NUEVO_LEON,NUEVO DE LEON,2021,-0.1,0.177,42.2,12.8,86.5,8 606.0,0.7,25.3
NUEVO_LEON,NUEVO DE LEON,2022,-0.2,0.626,44.9,15,113.5,8 362.2,0.8,24.5
NUEVO_LEON,NUEVO DE LEON,2023,-0.3,0.283,43.4,11.4,78,9 058.1,0.5,28.4
NUEVO_LEON,NUEVO DE LEON,2024,-0.2,0.091,37.5,9.3,92,11 494.8,0.5,28.6
OAXACA,OAXACA,2021,-1.5,23.149,86.4,29.5,89.8,3 926.2,11.9,23.4
OAXACA,OAXACA,2022,-2.5,21.512,84.1,29.1,88,4 076.8,12.5,25.3
OAXACA,OAXACA,2023,-6.7,26.914,86.6,26.4,94.1,4 465.3,11,29.2
OAXACA,OAXACA,2024,1.2,14.268,85.3,25.2,91.1,4 850.2,11.4,32.2
PUEBLA,PUEBLA,2021,1.1,8.496,79.6,22.3,132.9,4 462.2,2.7,22.2
PUEBLA,PUEBLA,2022,-0.6,12.413,80.2,25.1,160.3,4 202.0,3,17.9
PUEBLA,PUEBLA,2023,0,11.764,78.4,23.2,116,4 812.3,4.4,25.1
PUEBLA,PUEBLA,2024,0.3,5.512,77.4,16.1,123.2,5 732.2,4.1,32.2
QUERETARO,QUERETARO,2021,-0.1,0.567,55.3,14.8,50.6,7 426.9,1.1,34.8
QUERETARO,QUERETARO,2022,0.7,1.067,55,18.7,53.1,6 768.9,1.4,30.5
QUERETARO,QUERETARO,2023,-0.6,0.706,54,14.6,50,7 561.4,0.7,36.4
QUERETARO,QUERETARO,2024,-0.1,0.3,48.3,9.7,37.6,9 389.0,1.3,34.7
QUINTANA_ROO,QUINTANA_ROO,2021,0,1.319,53.7,17,36.4,7 442.0,2.6,34.8
QUINTANA_ROO,QUINTANA_ROO,2022,-0.1,5.628,57.6,26.2,39.1,5 453.1,1.3,21.5
QUINTANA_ROO,QUINTANA_ROO,2023,1.9,1.508,55.4,17.3,34.9,7 966.6,1.3,35.7
QUINTANA_ROO,QUINTANA_ROO,2024,-0.4,0.782,48.7,12.4,35.1,8 957.5,0.9,38.5
SAN_LUIS_POTOSI,SAN LUIS DE POTOSI ,2021,1,3.018,63.8,18.4,44.6,5 635.7,4.2,26.2
SAN_LUIS_POTOSI,SAN LUIS DE POTOSI ,2022,-0.2,4.095,64.7,22,45.4,5 324.2,4,25.1
SAN_LUIS_POTOSI,SAN LUIS DE POTOSI ,2023,0.3,3.264,61.5,17.2,47.3,6 091.4,4.8,28.5
SAN_LUIS_POTOSI,SAN LUIS DE POTOSI ,2024,0.8,1.793,62.9,13.6,33,7 087.7,3.5,33.9
SINALOA,SINALOA,2021,-0.1,0.77,55.4,21.7,44.8,7 163.6,2.1,31.7
SINALOA,SINALOA,2022,-0.2,1.005,55,18.6,44.8,6 646.6,1.7,32
SINALOA,SINALOA,2023,-0.2,0.683,55.7,16.2,48.3,7 597.8,1.9,35.5
SINALOA,SINALOA,2024,0.6,0.497,51.4,14.6,31.6,8 074.9,1.5,34.6
SONORA,SONORA,2021,0.2,0.693,49.4,15.6,56.6,7 840.4,1.8,28.9
SONORA,SONORA,2022,0.7,1.322,49.2,17.3,67.9,7 425.9,2.3,26.1
SONORA,SONORA,2023,0.2,0.52,49.2,15.7,54.8,8 431.8,1.8,32.7
SONORA,SONORA,2024,0.6,0.4,45.6,12,49.5,9 532.5,2.1,35.8
TABASCO,TABASCO,2021,0.9,10.256,74.8,18.8,30.2,4 750.3,3,27.9
TABASCO,TABASCO,2022,0.1,9.531,72,17.7,30.5,4 775.7,1.3,25.9
TABASCO,TABASCO,2023,0.6,8.643,73,18,35.6,5 361.7,3.1,33.6
TABASCO,TABASCO,2024,0.6,3.771,70.7,17.1,36.6,6 382.4,1.9,39.4
TAMAULIPAS,TAMAULIPAS,2021,0.2,1.21,51.4,14.4,68.1,6 563.1,0.9,23.2
TAMAULIPAS,TAMAULIPAS,2022,0,1.666,50.5,15,92.1,6 195.3,0.9,21
TAMAULIPAS,TAMAULIPAS,2023,0.1,1.084,52.2,14.3,80.6,7 185.5,1.3,27.8
TAMAULIPAS,TAMAULIPAS,2024,0.5,0.52,50.7,9.2,67.5,7 977.8,0.9,32
TLAXCALA,TLAXCALA,2021,0.9,3.298,75.4,22.2,24,4 739.2,0.7,23.7
TLAXCALA,TLAXCALA,2022,-0.5,11.566,75.5,25.8,22.6,3 938.5,1,18.2
TLAXCALA,TLAXCALA,2023,-0.1,8.043,74.9,21.9,25.1,4 460.8,1.2,21
TLAXCALA,TLAXCALA,2024,0.2,3.847,72.1,17.9,15.5,5 368.2,1,29
VERACRUZ,VERACRUZ,2021,1.4,15.076,77.2,28.1,175.6,4 092.6,6.9,20.7
VERACRUZ,VERACRUZ,2022,0.3,12.562,78.1,27.6,231.1,4 164.4,5.1,21.7
VERACRUZ,VERACRUZ,2023,0.5,10.922,74.4,22.9,173.1,4 968.6,5.6,26.7
VERACRUZ,VERACRUZ,2024,0.8,6.291,73.2,17.6,163.9,5 336.5,5,29.5
YUCATAN,YUCATAN,2021,-0.2,3.14,67.5,20.3,29.2,6 147.3,0.9,26.9
YUCATAN,YUCATAN,2022,1.7,6.617,68.6,23.1,33.9,5 441.4,1,22.1
YUCATAN,YUCATAN,2023,2.9,3.254,65.7,17.8,26.8,6 437.8,0.6,30.2
YUCATAN,YUCATAN,2024,-3.8,1.439,61.9,16.5,24.4,7 810.6,1,36.6
ZACATECAS,ZACATECAS,2021,0.8,2.666,69.2,19.9,33,4 667.4,0.8,24
ZACATECAS,ZACATECAS,2022,0.3,2.303,70.5,20.6,45.8,5 261.1,0.8,25.5
ZACATECAS,ZACATECAS,2023,0.6,3.473,68.6,16.3,39.8,5 191.5,0.6,26.4
ZACATECAS,ZACATECAS,2024,1.2,1.762,66.1,13.7,27.3,5 806.4,0.6,29.1